Customer;ST;GENDER;Education;Customer Lifetime Value;Income;Monthly Premium Auto;Number of Open Complaints;Policy Type;Vehicle Class;Total Claim Amount;Date
RB50392;Washington;NA;Master;;0;1000;00/01/1900;Personal Auto;Four-Door Car;2.704934;30/10/1995
QZ44356;Arizona;F;Bachelor;69795359%;0;94;00/01/1900;Personal Auto;Four-Door Car;1131.464935;02/12/1998
AI49188;Nevada;F;Bachelor;128874317%;48767;108;00/01/1900;Personal Auto;Two-Door Car;566.472247;16/05/1997
WW63253;California;M;Bachelor;76458618%;0;106;00/01/1900;Corporate Auto;SUV;529.881344;09/04/1997
GA49547;Washington;M;High School or Below;53630765%;36357;68;00/01/1900;Personal Auto;Four-Door Car;17.269323;14/11/1995
OC83172;Oregon;F;Bachelor;82562978%;62902;69;00/01/1900;Personal Auto;Two-Door Car;159.383042;04/04/1996
XZ87318;Oregon;F;College;53808986%;55350;67;00/01/1900;Corporate Auto;Four-Door Car;321.6;13/09/1996
CF85061;Arizona;M;Master;72161003%;0;101;00/01/1900;Corporate Auto;Four-Door Car;363.02968;25/10/1996
DY87989;Oregon;M;Bachelor;241275040%;14072;71;00/01/1900;Corporate Auto;Four-Door Car;511.2;22/03/1997
BQ94931;Oregon;F;College;73881781%;28812;93;00/01/1900;Special Auto;Four-Door Car;425.527834;26/12/1996
SX51350;California;M;College;47389920%;0;67;00/01/1900;Personal Auto;Four-Door Car;482.4;21/02/1997
VQ65197;California;NA;College;81971971%;0;110;00/01/1900;Personal Auto;SUV;528;08/04/1997
DP39365;California;NA;Master;87987970%;77026;110;01/02/2000;Corporate Auto;Four-Door Car;472.029737;11/02/1997
SJ95423;Arizona;NA;High School or Below;88190189%;99845;110;01/01/2000;Corporate Auto;SUV;528;08/04/1997
IL66569;California;NA;College;53844317%;83689;70;01/02/2000;Corporate Auto;Four-Door Car;307.139132;30/08/1996
BW63560;Oregon;NA;Bachelor;74631394%;24599;64;01/01/2000;Corporate Auto;Four-Door Car;42.920271;09/12/1995
FV94802;Nevada;NA;High School or Below;25668678%;25049;67;00/01/1900;Personal Auto;Two-Door Car;454.245098;24/01/1997
OE15005;Cali;NA;College;39452416%;28855;101;00/01/1900;Personal Auto;SUV;647.442031;05/08/1997
WC83389;Oregon;NA;College;57103331%;51148;72;00/01/1900;Personal Auto;Four-Door Car;308.981664;31/08/1996
FL50705;California;NA;High School or Below;81626171%;66140;101;00/01/1900;Corporate Auto;Four-Door Car;484.8;23/02/1997
ZK25313;Oregon;NA;High School or Below;28720513%;57749;74;00/01/1900;Personal Auto;Two-Door Car;355.2;17/10/1996
QK46697;Washington;M;Bachelors;61771093%;61040;79;01/01/2000;Personal Auto;Two-Door Car;20.382876;17/11/1995
YH23384;Arizona;NA;Bachelor;241275040%;14072;71;00/01/1900;Personal Auto;Four-Door Car;511.2;22/03/1997
TZ98966;Nevada;NA;Bachelor;24501910%;0;73;01/03/2000;Corporate Auto;Four-Door Car;554.376763;04/05/1997
HM55802;California;NA;Bachelor;23921079%;17870;61;00/01/1900;Corporate Auto;Four-Door Car;439.2;09/01/1997
FS42516;Oregon;NA;College;58020660%;97541;72;00/01/1900;Personal Auto;Four-Door Car;389.185006;20/11/1996
US89481;California;NA;Bachelor;39463721%;0;111;00/01/1900;Personal Auto;Four-Door Car;799.2;04/01/1998
HS14476;Washington;M;College;91620632%;29723;80;00/01/1900;Personal Auto;Four-Door Car;20.985105;17/11/1995
GE62437;AZ;NA;College;129025601%;86584;111;01/02/2000;Personal Auto;Four-Door Car;532.8;12/04/1997
